name,price,ratedBy
Nykaa Lash Talk False Eyelash - Melodrama,₹179,( 10685 )
Nykaa Sealed with a Kiss! Lipstick Palette - Bare Crush 03,₹594,( 6684 )
Nykaa So Matte! Mini Lipstick - 12 Taupe Thrill,₹209,( 88728 )
Nykaa So Matte! Mini Lipstick - 29 M Scarlet Siren,₹209,( 88728 )
Nykaa Matte Nail Enamel Polish - Ruby Blaze 120,₹225,( 53051 )
Nykaa Matte To Last! Mini Liquid Lipstick - Mishti 10,₹249,( 80627 )
Nykaa Mini Skinshield Anti-pollution Matte Foundation,₹169,( 1280 )
Nykaa Gloss it Up! High Shine Lip Gloss - 02 Sweet Angel,₹449,( 7184 )
Nykaa Love Struck Perfume - Talk All Night,₹594,( 7438 )
Nykaa Matte-illicious Lip Crayon Lipstick with Free Sharpene...,₹749,( 9763 )
Nykaa Star Studded Glitter Coat Nail Enamel Polish - Boujee ...,₹224,( 3765 )
Nykaa Breathable Nail Enamel - Bare Skin - 318,₹225,( 20301 )
"Nykaa All Day Matte Waterproof, Transfer Proof, Mask Proof, ...",₹375,( 15576 )
Nykaa Brow On Point! Micro Fine Eyebrow Pencil - Wiccan Wand,₹424,( 1066 )
Nykaa Kabuki Brush,₹383,( 1037 )
Nykaa Party Edit Clutch,₹749,( 2059 )
Nykaa So Matte! Mini Lipstick - 50 M Cinnamon Crunch,₹209,( 88728 )
Nykaa Matte to Last! Transfer Proof Liquid Lipstick - Rukmin...,₹584,( 38146 )
Nykaa BlendPro Highlighting Fan Makeup Brush,₹359,( 1386 )
Nykaa SKINgenius Foundation Stick Conceal Contour & Correcto...,₹518,( 6177 )
Nykaa Matte Luxe Lipstick - Retail Therapy,₹660,( 5510 )
Nykaa Wedding Edition Nail Enamel Polish - Mink Muffin 261,₹189,( 62888 )
"Nykaa All Day Matte Waterproof, Transfer Proof, Mask Proof, ...",₹375,( 15576 )
Nykaa Just Wink It! 12 in 1 - Eyeshadow Palette,₹945,( 1733 )
Nykaa Matte To Last! Mini Liquid Lipstick - Rukmini 22,₹224,( 80627 )
Nykaa Breathable Nail Enamel - Wine Unwind - 326,₹225,( 20301 )
Nykaa Cosmetics Blendpro Brushes Face Essentials (Blush + Co...,₹1272,( 3331 )
Nykaa Matte Nail Enamel Polish - Lemonade Fizz 76,₹191,( 53051 )
"Nykaa All Day Matte Waterproof, Transfer Proof, Mask Proof, ...",₹338,( 15576 )
Nykaa All Day Matte 12Hr Oil Control Face Compact Powder Wit...,₹199,( 17159 )
Nykaa Matte To Last! Mini Liquid Lipstick - Maithili 25,₹224,( 80627 )
Nykaa Ultra Matte Mini Lipstick - Razia 18,₹249,( 21744 )
Nykaa BlendPro Contour Makeup Brush,₹479,( 724 )
Nykaa Matte Luxe Lipstick - Truffle,₹825,( 5510 )
Nykaa Lips Don't Lie! Waterproof Line & Fill Lip Liner - Bea...,₹399,( 11606 )
Nykaa GLAMOReyes Coloured Liquid Eyeliner - 05 Dragon's Hear...,₹228,( 11514 )
Nykaa Take A Brow! Eyebrow Filler Powder - Coco Raven,₹489,( 1056 )
